gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group D,high school,standard,none,94,88,84
female,group B,some high school,standard,completed,50,66,62
female,group B,high school,free/reduced,none,37,50,49
female,group C,some college,standard,none,58,72,64
male,group C,some high school,standard,completed,79,67,71
female,group E,high school,standard,none,71,67,70
male,group C,some high school,free/reduced,none,37,32,28
male,group D,high school,free/reduced,none,51,58,51
male,group D,some college,free/reduced,none,82,82,80
male,group C,master's degree,free/reduced,completed,92,82,82
female,group C,high school,free/reduced,none,25,41,42
male,group E,some college,standard,completed,96,89,94
male,group D,some high school,standard,none,59,55,54
male,group B,bachelor's degree,standard,none,75,59,62
male,group C,bachelor's degree,standard,none,75,71,70
male,group A,high school,free/reduced,completed,66,72,63
female,group E,associate's degree,standard,none,82,82,84
female,group B,high school,standard,completed,86,95,100
male,group C,high school,standard,completed,82,75,70
male,group E,bachelor's degree,standard,none,82,72,68
male,group E,bachelor's degree,standard,completed,79,67,77
female,group D,some high school,standard,none,81,77,83
female,group E,some college,standard,none,83,87,95
male,group D,associate's degree,standard,none,69,72,67
male,group D,associate's degree,standard,completed,62,73,75
female,group A,some high school,standard,completed,81,83,86
male,group E,master's degree,standard,none,77,64,65
male,group B,master's degree,standard,none,75,61,65
female,group C,bachelor's degree,standard,none,69,74,80
male,group E,master's degree,standard,none,73,64,65
male,group E,high school,standard,none,64,59,49
female,group C,bachelor's degree,free/reduced,completed,65,75,75
female,group E,master's degree,free/reduced,completed,65,85,82
female,group E,some high school,standard,completed,64,75,71
female,group E,high school,standard,completed,80,85,88
female,group C,some college,standard,none,83,96,89
female,group E,high school,standard,none,78,95,92
male,group E,some college,free/reduced,none,49,46,42
female,group B,bachelor's degree,standard,none,69,82,84
female,group C,some college,free/reduced,none,68,68,71
male,group D,high school,standard,completed,97,97,96
female,group D,some college,free/reduced,completed,45,58,62
male,group B,high school,standard,none,89,73,64
male,group B,some high school,free/reduced,none,66,64,60
male,group E,bachelor's degree,standard,none,78,64,64
female,group D,bachelor's degree,standard,none,64,77,75
male,group D,high school,free/reduced,completed,38,36,38
female,group B,high school,standard,none,85,93,84
male,group E,associate's degree,standard,none,68,54,54
male,group C,some high school,standard,completed,80,76,71
male,group B,associate's degree,standard,none,69,72,59
female,group D,some college,standard,none,87,94,99
female,group B,master's degree,standard,none,60,60,63
female,group D,some high school,free/reduced,none,50,60,57
male,group D,some college,free/reduced,completed,42,47,47
female,group D,some college,standard,none,61,80,72
female,group C,bachelor's degree,free/reduced,none,57,69,67
female,group B,some college,free/reduced,none,72,88,84
male,group C,high school,free/reduced,none,44,37,34
female,group B,some college,standard,none,87,88,91
female,group C,associate's degree,standard,completed,68,84,84
male,group E,high school,free/reduced,completed,78,76,73
female,group C,some college,standard,completed,68,80,82
female,group C,associate's degree,free/reduced,none,42,57,55
male,group D,some high school,standard,completed,73,66,71
male,group C,some college,free/reduced,completed,86,93,85
male,group C,some high school,standard,none,58,49,49
female,group E,some college,free/reduced,completed,48,69,66
male,group D,high school,standard,none,82,71,69
male,group B,some college,standard,none,59,59,56
female,group D,high school,free/reduced,none,66,80,85
female,group C,some college,standard,completed,88,96,99
female,group D,associate's degree,free/reduced,none,49,63,58
male,group B,high school,standard,completed,86,81,82
male,group E,some college,free/reduced,completed,68,65,63
male,group C,some high school,free/reduced,none,49,42,42
male,group B,some high school,standard,completed,70,66,64
female,group C,bachelor's degree,standard,none,86,83,87
male,group D,bachelor's degree,standard,completed,94,85,92
male,group C,high school,standard,completed,51,50,48
female,group E,associate's degree,free/reduced,completed,67,73,74
male,group B,some college,standard,none,69,65,66
female,group D,some high school,standard,completed,63,76,80
male,group A,high school,free/reduced,completed,51,55,55
female,group C,some college,standard,completed,68,79,81
male,group C,associate's degree,standard,none,71,72,71
female,group B,some college,free/reduced,completed,84,94,96
male,group C,master's degree,free/reduced,completed,89,95,88
male,group C,bachelor's degree,free/reduced,completed,82,80,82
male,group D,bachelor's degree,standard,none,65,50,58
female,group B,associate's degree,standard,completed,55,63,67
male,group C,bachelor's degree,standard,none,90,83,77
male,group D,high school,standard,none,89,81,78
male,group C,bachelor's degree,free/reduced,completed,68,76,76
female,group D,some high school,standard,none,69,81,78
male,group C,high school,standard,completed,63,67,58
female,group E,master's degree,standard,completed,87,83,90
female,group D,bachelor's degree,free/reduced,none,35,47,48
female,group D,some high school,standard,none,58,59,58
female,group C,bachelor's degree,standard,none,58,61,64
male,group B,bachelor's degree,standard,none,56,47,49
male,group A,associate's degree,standard,none,75,70,70
female,group C,some college,standard,none,49,54,59
male,group B,high school,free/reduced,completed,61,60,60
female,group C,associate's degree,standard,none,64,74,73
male,group D,some college,standard,completed,90,83,86
female,group D,some college,free/reduced,completed,58,68,74
female,group B,some college,free/reduced,none,51,77,70
female,group D,some college,free/reduced,none,34,60,56
male,group B,some college,standard,none,86,75,68
male,group D,associate's degree,free/reduced,completed,62,62,63
male,group C,associate's degree,standard,none,56,48,54
female,group A,associate's degree,standard,completed,74,81,89
female,group B,associate's degree,standard,none,76,76,77
male,group C,some college,free/reduced,completed,66,67,70
female,group B,associate's degree,free/reduced,completed,72,79,83
female,group C,some high school,free/reduced,none,42,49,52
male,group C,bachelor's degree,standard,none,66,60,55
male,group D,some college,standard,none,70,78,67
male,group A,some high school,free/reduced,completed,58,58,54
female,group C,some high school,free/reduced,none,27,43,38
female,group E,some high school,standard,completed,63,55,65
female,group A,high school,standard,none,49,58,58
male,group B,associate's degree,standard,none,48,52,46
female,group C,high school,standard,none,59,65,65
male,group C,some high school,standard,none,83,64,60
female,group B,some high school,standard,none,60,60,61
male,group E,bachelor's degree,free/reduced,completed,55,48,43
female,group C,high school,standard,none,51,62,59
male,group B,associate's degree,standard,none,57,45,42
male,group B,some high school,standard,none,69,65,62
male,group B,some college,free/reduced,none,50,55,52
female,group D,associate's degree,standard,none,86,99,100
female,group D,master's degree,free/reduced,completed,70,79,81
female,group C,some college,free/reduced,none,78,79,81
female,group C,associate's degree,free/reduced,completed,59,77,73
male,group B,some high school,free/reduced,completed,50,51,46
female,group C,some high school,standard,none,49,58,54
male,group D,associate's degree,free/reduced,none,59,66,64
male,group E,master's degree,free/reduced,none,55,59,52
female,group E,master's degree,standard,none,88,81,81
male,group D,bachelor's degree,free/reduced,none,72,72,74
male,group B,master's degree,standard,none,67,72,70
male,group B,some college,standard,completed,55,39,46
female,group C,bachelor's degree,free/reduced,none,46,55,53
female,group B,some high school,standard,completed,65,72,75
female,group B,bachelor's degree,free/reduced,completed,44,54,59
female,group E,some college,standard,none,66,76,66
male,group C,associate's degree,standard,completed,90,85,88
female,group B,high school,standard,completed,64,78,77
female,group D,some high school,free/reduced,none,53,58,58
male,group D,associate's degree,standard,none,76,72,68
female,group C,associate's degree,free/reduced,none,52,65,62
male,group D,high school,free/reduced,completed,78,66,67
male,group C,high school,free/reduced,none,57,46,46
female,group C,high school,standard,none,56,67,70
male,group A,some college,free/reduced,none,58,56,50
female,group B,some college,free/reduced,completed,41,51,53
female,group C,high school,free/reduced,completed,63,77,74
female,group E,high school,standard,none,56,59,57
male,group D,bachelor's degree,standard,completed,73,69,73
female,group C,some college,standard,completed,64,72,79
female,group B,associate's degree,standard,none,86,96,92
male,group C,associate's degree,free/reduced,completed,69,72,67
female,group C,associate's degree,standard,none,78,93,93
male,group B,bachelor's degree,standard,none,75,84,77
female,group C,some college,free/reduced,none,77,87,82
female,group D,associate's degree,free/reduced,none,51,70,69
male,group C,some college,free/reduced,none,54,43,44
male,group C,high school,standard,completed,85,83,85
female,group D,high school,standard,none,63,61,60
male,group B,bachelor's degree,free/reduced,none,84,71,71
female,group E,high school,standard,none,65,76,67
female,group C,bachelor's degree,free/reduced,completed,83,93,92
male,group B,some college,free/reduced,none,55,52,44
female,group B,high school,standard,none,54,62,57
female,group B,high school,free/reduced,none,52,64,63
male,group C,some college,standard,completed,65,52,58
male,group E,high school,standard,none,89,73,68
female,group D,associate's degree,standard,completed,64,74,85
male,group E,associate's degree,standard,none,100,98,88
female,group B,some college,standard,none,49,60,62
male,group D,associate's degree,standard,completed,63,62,63
female,group A,bachelor's degree,standard,completed,84,94,96
female,group C,high school,standard,none,76,86,81
female,group C,high school,free/reduced,none,72,76,73
female,group C,some college,standard,none,78,81,73
male,group D,some college,standard,none,75,68,63
male,group D,bachelor's degree,free/reduced,completed,70,72,74
female,group C,some college,standard,completed,92,100,100
female,group D,some high school,free/reduced,none,32,50,51
male,group D,some college,standard,completed,89,91,85
male,group E,associate's degree,standard,completed,88,88,77
female,group C,high school,free/reduced,none,59,68,62
male,group D,master's degree,standard,completed,83,83,87
male,group D,master's degree,free/reduced,completed,79,97,95
female,group B,some high school,free/reduced,none,71,76,75
male,group B,associate's degree,standard,none,56,51,51
female,group E,high school,free/reduced,completed,81,84,85
male,group D,associate's degree,standard,completed,72,84,81
male,group B,some college,standard,completed,62,61,59
female,group C,high school,standard,completed,67,79,80
female,group D,associate's degree,standard,completed,80,91,94
female,group E,some college,standard,none,86,92,86
female,group B,master's degree,standard,completed,54,77,80
male,group C,some high school,standard,none,53,57,51
female,group B,some high school,standard,none,39,47,56
female,group D,associate's degree,free/reduced,completed,80,89,87
male,group D,some high school,standard,completed,67,71,75
female,group E,some high school,standard,completed,97,89,100
male,group D,associate's degree,standard,completed,64,65,69
male,group B,some high school,standard,none,78,70,71
male,group C,bachelor's degree,standard,none,74,67,66
female,group D,associate's degree,standard,none,41,61,57
female,group A,some college,standard,none,63,68,70
female,group C,some college,standard,none,59,62,61
female,group E,some college,standard,completed,76,86,84
female,group C,associate's degree,standard,none,73,79,78
male,group E,some college,free/reduced,none,42,42,37
male,group D,some high school,standard,none,71,73,68
female,group C,some high school,standard,none,34,48,47
female,group C,high school,free/reduced,none,48,54,55
female,group B,associate's degree,standard,completed,48,72,69
male,group B,some high school,free/reduced,completed,56,49,53
male,group E,some college,standard,none,67,51,51
female,group D,high school,standard,none,63,74,69
female,group C,associate's degree,standard,none,93,92,91
male,group B,high school,standard,none,75,71,68
male,group C,associate's degree,free/reduced,none,69,68,67
male,group C,master's degree,free/reduced,completed,59,48,53
male,group B,some college,standard,none,71,72,67
female,group C,bachelor's degree,free/reduced,none,61,68,64
male,group E,bachelor's degree,standard,none,74,76,68
male,group C,bachelor's degree,standard,none,79,72,71
male,group B,some high school,standard,none,66,75,74
female,group B,high school,standard,completed,76,86,85
female,group B,some college,free/reduced,completed,58,67,66
male,group E,associate's degree,standard,none,84,84,77
male,group B,some high school,standard,none,73,78,68
female,group C,associate's degree,free/reduced,none,59,58,63
female,group E,some high school,free/reduced,completed,73,90,83
male,group C,some high school,standard,completed,73,76,67
female,group B,some college,standard,completed,64,78,85
female,group B,some college,standard,completed,50,48,49
male,group B,some high school,standard,completed,41,51,46
male,group C,some college,free/reduced,completed,69,66,72
female,group C,associate's degree,standard,completed,69,80,80
male,group D,some college,free/reduced,completed,75,66,69
female,group D,bachelor's degree,free/reduced,none,63,65,63
female,group C,high school,free/reduced,none,74,76,75
male,group D,some high school,standard,none,69,70,68
female,group C,some college,free/reduced,none,35,58,51
male,group D,some college,standard,none,81,68,73
male,group B,some high school,standard,none,81,71,63
female,group D,some high school,free/reduced,none,55,59,57
male,group B,some college,standard,completed,74,63,67
female,group D,some college,standard,none,63,77,78
female,group A,some college,free/reduced,none,63,72,69
female,group C,some college,free/reduced,completed,41,38,50
female,group B,some college,free/reduced,completed,58,74,74
male,group C,high school,standard,none,86,77,73
male,group C,bachelor's degree,standard,none,92,85,87
male,group D,some high school,standard,completed,75,78,77
male,group B,some high school,standard,none,32,32,16
male,group D,bachelor's degree,free/reduced,none,47,48,48
male,group B,some high school,standard,none,90,90,78
female,group E,some high school,standard,completed,82,77,81
male,group C,high school,standard,completed,62,64,56
male,group B,high school,free/reduced,completed,70,74,67
female,group B,high school,standard,completed,78,89,91
female,group C,high school,standard,none,82,95,91
male,group C,associate's degree,standard,none,46,49,46
male,group C,high school,free/reduced,none,60,56,48
male,group A,associate's degree,standard,completed,54,52,52
female,group D,master's degree,standard,completed,94,100,100
male,group B,some college,standard,none,72,66,64
male,group C,bachelor's degree,standard,completed,69,69,71
male,group D,some high school,free/reduced,none,72,73,65
female,group B,high school,standard,completed,91,100,100
male,group D,some college,standard,completed,58,57,57
male,group C,some college,free/reduced,completed,79,91,86
female,group E,high school,free/reduced,completed,70,90,82
male,group D,bachelor's degree,standard,completed,94,99,100
male,group B,associate's degree,standard,none,79,70,71
female,group A,master's degree,standard,completed,71,79,86
male,group E,some high school,standard,completed,95,81,82
male,group D,high school,standard,completed,63,69,62
male,group A,some high school,free/reduced,none,62,63,59
male,group C,high school,free/reduced,none,73,75,71
female,group D,some college,standard,none,49,67,63
male,group D,some high school,standard,none,78,75,61
female,group B,bachelor's degree,standard,none,54,71,60
male,group D,high school,free/reduced,none,29,32,32
male,group C,high school,standard,completed,54,50,45
male,group D,high school,free/reduced,none,61,54,46
male,group D,some college,free/reduced,none,73,73,72
male,group E,associate's degree,standard,completed,83,75,73
male,group E,master's degree,standard,none,84,76,71
female,group E,high school,standard,completed,97,96,98
male,group D,master's degree,standard,none,85,76,75
male,group D,some high school,standard,completed,70,66,68
female,group B,bachelor's degree,free/reduced,completed,41,55,63
female,group A,some high school,standard,completed,74,85,79
female,group D,some high school,standard,none,91,95,91
female,group B,some high school,standard,none,62,60,52
female,group D,bachelor's degree,free/reduced,completed,54,79,77
female,group B,associate's degree,free/reduced,completed,49,63,58
female,group A,associate's degree,standard,completed,80,92,94
female,group B,associate's degree,free/reduced,none,54,71,69
male,group C,some high school,standard,none,66,62,57
female,group D,bachelor's degree,standard,none,51,55,55
female,group A,high school,standard,none,64,70,70
male,group C,some college,standard,none,67,62,63
female,group D,master's degree,free/reduced,completed,73,80,87
male,group B,bachelor's degree,standard,completed,65,62,56
male,group D,some college,standard,completed,68,65,65
female,group E,high school,free/reduced,none,71,81,80
female,group C,some college,free/reduced,none,49,61,55
female,group A,associate's degree,standard,none,71,75,74
female,group B,some high school,standard,none,47,66,57
male,group A,associate's degree,standard,none,68,57,59
female,group B,some college,standard,none,63,70,73
female,group D,associate's degree,standard,completed,66,72,77
female,group B,some college,standard,none,71,81,82
male,group C,high school,standard,none,66,56,57
female,group D,bachelor's degree,standard,none,73,70,72
male,group D,some college,standard,none,81,79,81
male,group E,some college,free/reduced,none,76,64,55
male,group B,high school,free/reduced,completed,69,68,68
male,group D,associate's degree,standard,completed,80,74,77
male,group E,some college,standard,none,70,59,58
male,group D,some college,standard,completed,72,69,70
female,group B,some high school,free/reduced,completed,47,59,62
male,group E,some high school,standard,none,42,29,28
female,group C,high school,free/reduced,none,43,48,50
female,group D,some high school,standard,none,71,67,73
female,group D,high school,free/reduced,completed,70,85,87
female,group A,some high school,free/reduced,none,43,61,61
male,group D,high school,standard,none,69,77,72
female,group D,associate's degree,standard,none,67,68,69
male,group D,high school,standard,none,58,66,57
male,group C,some college,standard,none,71,69,66
male,group A,high school,free/reduced,none,60,51,57
male,group B,some college,standard,completed,48,48,52
female,group A,some college,standard,completed,80,97,91
male,group B,associate's degree,standard,completed,77,66,66
male,group D,some high school,free/reduced,none,50,49,40
female,group E,associate's degree,standard,none,65,64,60
male,group C,high school,standard,none,61,57,57
female,group B,high school,free/reduced,none,47,57,63
male,group E,some college,free/reduced,completed,47,49,48
female,group D,high school,free/reduced,completed,52,70,75
female,group C,high school,standard,none,52,71,65
female,group C,some high school,free/reduced,completed,59,66,60
male,group C,bachelor's degree,standard,none,63,64,60
female,group C,some high school,free/reduced,none,60,82,72
female,group C,associate's degree,standard,completed,80,93,90
female,group A,bachelor's degree,standard,none,62,66,66
female,group C,some high school,standard,none,42,47,53
female,group C,some college,free/reduced,completed,59,71,71
female,group C,bachelor's degree,standard,none,84,87,87
male,group D,master's degree,free/reduced,completed,74,72,63
male,group D,high school,standard,completed,72,69,66
male,group E,associate's degree,standard,completed,77,74,71
female,group D,high school,standard,completed,65,78,83
male,group D,bachelor's degree,standard,none,87,81,80
female,group A,master's degree,free/reduced,none,60,82,82
male,group E,bachelor's degree,standard,none,63,56,55
female,group E,high school,free/reduced,none,71,76,75
male,group D,some college,standard,completed,65,65,63
male,group C,some high school,standard,none,49,41,35
male,group C,associate's degree,standard,none,71,65,72
male,group E,high school,standard,completed,100,88,88
male,group C,bachelor's degree,free/reduced,completed,70,77,77
male,group A,some high school,free/reduced,none,46,49,42
female,group E,high school,standard,none,100,100,95
female,group C,associate's degree,free/reduced,none,42,62,64
male,group B,some college,free/reduced,completed,70,68,62
male,group D,bachelor's degree,standard,none,51,50,48
female,group C,high school,standard,none,49,51,51
female,group C,high school,free/reduced,none,33,55,48
male,group B,high school,standard,none,62,54,55
male,group E,some college,standard,completed,100,82,82
female,group D,bachelor's degree,standard,none,68,77,78
female,group E,associate's degree,standard,completed,76,93,96
female,group C,bachelor's degree,standard,completed,64,78,83
male,group B,some high school,standard,none,81,85,76
female,group C,some high school,free/reduced,completed,63,75,74
male,group E,associate's degree,standard,completed,90,88,86
female,group C,bachelor's degree,standard,completed,83,90,91
male,group D,some college,standard,none,60,50,45
female,group C,some high school,standard,none,79,92,85
female,group B,high school,standard,completed,62,74,79
female,group D,master's degree,free/reduced,completed,79,87,87
male,group A,some high school,standard,none,51,49,44
male,group E,high school,standard,none,82,75,65
male,group E,bachelor's degree,free/reduced,none,94,90,85
female,group E,some high school,standard,completed,83,86,82
male,group D,associate's degree,standard,completed,76,70,71
female,group E,high school,standard,none,73,78,73
female,group C,high school,standard,completed,72,93,84
male,group B,associate's degree,free/reduced,none,81,76,70
male,group C,some college,free/reduced,none,74,63,60
female,group D,high school,standard,none,46,62,65
female,group D,some college,free/reduced,none,57,72,68
female,group D,high school,standard,completed,74,78,86
female,group D,associate's degree,free/reduced,none,72,81,87
male,group A,some college,standard,none,84,82,80
female,group C,some college,standard,completed,67,79,85
male,group B,some college,standard,none,72,78,73
male,group D,some high school,free/reduced,none,39,46,45
male,group E,some college,standard,completed,97,92,86
male,group C,high school,free/reduced,none,50,43,43
female,group C,master's degree,standard,none,96,100,100
male,group D,associate's degree,standard,none,74,76,67
male,group D,bachelor's degree,standard,completed,82,79,78
male,group B,some high school,standard,none,56,44,40
female,group C,some college,standard,none,73,91,88
female,group D,associate's degree,free/reduced,completed,94,94,100
female,group D,some college,free/reduced,none,38,49,51
female,group B,some college,free/reduced,none,42,46,44
female,group D,master's degree,free/reduced,completed,69,82,83
female,group D,some college,standard,completed,68,78,77
female,group D,bachelor's degree,free/reduced,none,76,83,83
male,group B,some college,free/reduced,none,27,36,26
female,group D,bachelor's degree,standard,none,68,70,72
female,group E,some college,standard,none,76,74,75
male,group B,high school,standard,none,55,44,39
female,group D,some college,standard,completed,66,80,87
female,group E,some high school,standard,completed,78,89,90
male,group A,some college,standard,none,97,82,81
male,group C,high school,free/reduced,none,62,64,58
female,group A,bachelor's degree,standard,none,72,85,78
female,group D,some college,standard,none,64,70,72
male,group D,high school,standard,none,62,66,61
female,group A,some college,standard,none,70,80,81
male,group C,high school,free/reduced,none,51,45,39
female,group C,some high school,standard,none,73,83,81
female,group E,associate's degree,standard,none,80,79,77
male,group B,some college,free/reduced,none,44,44,40
female,group E,high school,free/reduced,completed,71,84,76
female,group D,some college,standard,none,69,70,75
female,group B,some college,standard,none,66,86,83
male,group A,some high school,standard,none,70,60,53
male,group C,high school,standard,none,60,60,58
male,group C,some high school,standard,none,50,45,45
female,group E,associate's degree,standard,completed,86,96,91
male,group D,some college,standard,none,86,77,75
female,group B,associate's degree,standard,none,85,75,82
female,group E,high school,standard,none,84,87,89
male,group B,associate's degree,standard,none,63,60,58
female,group B,bachelor's degree,free/reduced,completed,53,67,66
male,group A,high school,standard,completed,53,48,46
female,group C,associate's degree,standard,none,73,78,81
female,group B,some high school,standard,none,63,77,77
female,group C,associate's degree,standard,none,63,76,75
male,group E,associate's degree,standard,none,63,61,55
male,group C,high school,free/reduced,none,63,55,53
female,group D,associate's degree,standard,completed,77,81,89
female,group D,some high school,free/reduced,completed,58,77,77
female,group E,high school,free/reduced,none,70,86,74
female,group C,high school,free/reduced,completed,53,72,76
female,group B,some high school,standard,completed,86,95,95
female,group D,bachelor's degree,standard,none,70,76,74
female,group C,some college,free/reduced,none,75,90,84
male,group D,associate's degree,free/reduced,completed,59,60,62
male,group E,associate's degree,standard,completed,81,65,66
male,group B,some college,standard,none,79,76,71
male,group D,some college,free/reduced,completed,33,37,34
female,group D,some college,free/reduced,none,55,55,57
male,group D,high school,standard,none,67,64,65
female,group C,high school,standard,completed,62,70,74
female,group D,some college,standard,completed,44,49,52
female,group D,some high school,standard,completed,62,71,71
female,group C,some high school,free/reduced,completed,58,72,75
male,group B,high school,standard,none,52,55,50
male,group B,some college,standard,none,43,47,48
female,group B,associate's degree,free/reduced,none,45,64,56
female,group B,associate's degree,standard,completed,62,75,81
female,group E,some college,free/reduced,completed,78,85,85
female,group B,some college,standard,completed,57,60,66
female,group B,some college,standard,none,43,46,46
male,group A,some college,standard,none,63,63,61
male,group B,bachelor's degree,standard,none,70,58,62
male,group C,some college,free/reduced,completed,71,69,73
female,group C,high school,standard,completed,93,100,98
female,group E,bachelor's degree,standard,none,89,95,94
female,group D,some high school,standard,completed,82,90,95
female,group C,bachelor's degree,standard,none,66,75,74
male,group E,high school,free/reduced,none,84,66,60
male,group C,master's degree,standard,completed,77,72,79
male,group D,some college,free/reduced,none,55,55,52
female,group D,some college,free/reduced,completed,52,64,70
female,group D,high school,standard,completed,87,90,93
female,group B,some college,free/reduced,none,51,57,62
male,group A,some college,free/reduced,completed,82,79,79
male,group C,some college,standard,none,92,84,87
female,group D,associate's degree,standard,completed,67,86,83
male,group B,some high school,standard,completed,79,81,73
female,group E,associate's degree,standard,none,79,91,88
female,group C,some college,standard,none,44,63,61
male,group D,some high school,free/reduced,none,58,69,60
male,group D,master's degree,standard,none,88,88,85
female,group C,master's degree,free/reduced,none,56,68,68
female,group D,master's degree,free/reduced,completed,76,89,91
female,group D,bachelor's degree,standard,none,61,57,67
male,group A,associate's degree,standard,none,55,52,45
male,group D,bachelor's degree,standard,none,93,84,81
female,group C,some college,free/reduced,none,47,57,55
female,group C,some college,standard,completed,66,69,72
male,group B,some college,standard,none,75,71,66
female,group C,some high school,free/reduced,none,68,85,70
male,group D,some college,standard,none,84,72,77
male,group B,some high school,free/reduced,none,58,60,55
male,group B,some college,free/reduced,none,40,36,40
female,group E,some college,standard,completed,100,100,100
female,group D,associate's degree,standard,none,85,88,93
male,group E,some college,standard,none,77,67,67
male,group B,master's degree,standard,completed,88,97,93
female,group E,high school,free/reduced,completed,61,67,69
female,group E,associate's degree,standard,none,80,82,83
female,group D,high school,standard,none,83,81,87
female,group B,associate's degree,standard,none,56,73,71
male,group D,some college,free/reduced,completed,72,69,75
female,group C,bachelor's degree,free/reduced,none,59,73,70
female,group D,some college,standard,completed,65,63,74
male,group C,high school,standard,completed,75,75,71
male,group C,high school,standard,completed,47,46,52
female,group D,some college,standard,none,71,71,72
female,group C,some college,standard,none,70,71,69
male,group C,bachelor's degree,standard,none,93,88,87
female,group E,bachelor's degree,free/reduced,none,76,90,87
female,group D,some high school,standard,completed,64,78,78
female,group C,associate's degree,free/reduced,completed,42,50,56
male,group D,high school,free/reduced,none,53,48,49
female,group C,some college,free/reduced,completed,66,80,89
male,group B,high school,standard,none,57,51,48
male,group D,bachelor's degree,standard,completed,78,86,85
female,group D,high school,free/reduced,completed,27,43,52
female,group E,high school,standard,completed,82,88,87
female,group B,high school,standard,completed,81,88,91
male,group C,some high school,free/reduced,completed,41,47,43
male,group A,some college,free/reduced,none,79,68,70
male,group B,some high school,standard,none,54,62,60
female,group E,associate's degree,standard,none,83,81,85
male,group E,bachelor's degree,standard,completed,87,83,83
male,group C,bachelor's degree,standard,none,59,41,45
male,group D,some high school,free/reduced,none,63,57,53
male,group D,some college,standard,completed,75,81,81
female,group B,associate's degree,free/reduced,none,58,70,70
male,group B,some high school,standard,none,61,76,65
male,group D,some college,standard,none,74,69,65
male,group D,bachelor's degree,standard,none,83,86,82
female,group B,high school,standard,none,56,59,52
male,group D,associate's degree,standard,none,84,74,73
female,group D,some high school,free/reduced,none,60,61,63
female,group E,some high school,standard,none,77,75,72
female,group D,some high school,free/reduced,none,48,60,58
male,group C,high school,standard,none,48,52,49
male,group C,associate's degree,standard,completed,72,70,74
female,group E,associate's degree,standard,completed,90,90,93
male,group C,high school,standard,none,55,50,50
male,group B,associate's degree,free/reduced,none,45,51,47
male,group C,bachelor's degree,standard,none,97,92,82
female,group B,high school,standard,none,69,75,74
male,group B,some high school,free/reduced,none,59,61,55
female,group D,master's degree,standard,completed,94,87,93
male,group D,bachelor's degree,free/reduced,none,74,61,67
male,group C,some college,free/reduced,completed,67,66,72
male,group C,some college,standard,none,71,64,59
male,group A,some high school,standard,completed,70,69,72
female,group C,high school,free/reduced,completed,72,79,79
female,group C,high school,standard,none,56,61,57
male,group C,high school,free/reduced,completed,51,50,55
male,group C,master's degree,standard,none,71,62,61
female,group B,high school,standard,completed,50,60,59
male,group B,some high school,free/reduced,none,55,56,51
female,group C,associate's degree,standard,none,82,85,82
female,group B,some college,standard,none,84,90,91
female,group B,some college,free/reduced,none,67,87,77
female,group C,master's degree,free/reduced,none,41,49,49
female,group A,high school,standard,none,61,74,71
female,group D,master's degree,standard,completed,89,97,100
male,group C,some high school,free/reduced,none,60,59,53
male,group C,bachelor's degree,free/reduced,none,64,62,56
female,group C,associate's degree,standard,none,44,59,56
female,group D,some college,standard,none,70,71,76
male,group E,associate's degree,standard,none,100,100,89
male,group C,some college,standard,completed,73,74,73
male,group E,associate's degree,standard,none,66,58,57
female,group E,some college,standard,completed,88,98,100
female,group A,some high school,standard,none,63,67,62
male,group B,some college,free/reduced,completed,71,67,70
female,group C,associate's degree,free/reduced,none,57,66,68
male,group C,associate's degree,standard,completed,78,71,73
female,group E,some high school,standard,none,64,63,65
male,group C,some college,standard,completed,74,71,74
female,group E,some college,standard,none,70,78,73
female,group C,bachelor's degree,standard,completed,53,65,75
female,group D,high school,standard,none,82,89,91
male,group D,some college,free/reduced,completed,71,76,74
male,group E,bachelor's degree,free/reduced,none,80,77,74
male,group A,associate's degree,standard,none,83,75,77
male,group C,some college,standard,none,66,44,46
male,group D,some high school,standard,none,66,72,67
female,group D,some college,standard,none,75,79,78
female,group D,some college,standard,none,37,44,45
male,group E,associate's degree,free/reduced,none,57,47,45
female,group B,some college,standard,none,72,83,82
female,group D,high school,standard,none,69,75,76
male,group E,associate's degree,free/reduced,completed,75,71,71
female,group D,master's degree,standard,completed,64,73,83
female,group D,master's degree,free/reduced,completed,88,100,100
female,group C,some college,free/reduced,completed,55,72,74
male,group C,high school,free/reduced,completed,36,39,37
male,group C,some high school,free/reduced,completed,87,82,85
male,group D,high school,free/reduced,completed,70,76,75
female,group C,some college,standard,none,76,81,80
female,group A,some college,standard,none,49,67,66
male,group B,some college,standard,none,74,74,73
female,group E,high school,free/reduced,none,71,77,72
female,group A,some college,free/reduced,none,44,62,60
female,group C,high school,standard,completed,57,63,65
male,group C,some college,standard,none,64,57,60
male,group B,some high school,standard,none,79,72,67
female,group C,some high school,standard,none,37,55,51
female,group D,some college,standard,none,69,86,83
male,group C,high school,free/reduced,none,62,58,61
male,group B,some high school,free/reduced,none,71,70,69
female,group D,some college,standard,none,54,71,61
female,group D,bachelor's degree,standard,none,70,72,83
female,group B,some high school,free/reduced,none,45,58,52
male,group B,high school,standard,completed,80,64,69
male,group B,high school,free/reduced,completed,56,62,58
female,group C,some high school,free/reduced,completed,52,57,61
female,group C,bachelor's degree,standard,none,94,91,100
female,group B,some high school,standard,none,42,62,57
female,group E,high school,standard,completed,90,89,89
